Capstone Competition									
Page last updated on: 2015-10-12 04:28:58 (GMT)									
Rank	Alias	Classification Accuracy	Precision 0	Precision 1	Recall 0	Recall 1	Precision	Recall	F1
1	tomtom	0.65710029	0.996045536	0.015426497	0.65697123	0.673267327	0.505736017	0.665119278	0.574579585
2	kozlod	0.718027131	0.995621716	0.016864805	0.718937717	0.603960396	0.506243261	0.661449057	0.573531438
3	NathanG	0.651219321	0.996009674	0.015168414	0.651043313	0.673267327	0.505589044	0.66215532	0.573376306
4	Roman	0.63616404	0.996037642	0.014753047	0.635788808	0.683168317	0.505395345	0.659478562	0.572246306
5	srscello	0.626048773	0.996098175	0.014559068	0.625513753	0.693069307	0.505328622	0.65929153	0.572133119
6	Andúril	0.663922214	0.995851114	0.015288395	0.664005691	0.653465347	0.505569754	0.658735519	0.572078066
7	ashic	0.596095036	0.996294826	0.014049269	0.595083781	0.722772277	0.505172047	0.658928029	0.571895885
8	pintowar	0.641652944	0.995949926	0.014766558	0.641400569	0.673267327	0.505358242	0.657333948	0.571413709
9	Dush	0.572492747	0.996414782	0.013633885	0.571134998	0.742574257	0.505024333	0.656854628	0.571019154
10	Saulus	0.77032855	0.995212387	0.018392371	0.772209927	0.534653465	0.506802379	0.653431696	0.570851598
11	ax-xl	0.674821611	0.995687143	0.015333014	0.675150174	0.633663366	0.505510078	0.65440677	0.570401608
12	HdeV	0.616796048	0.996039351	0.014210313	0.616187164	0.693069307	0.505124832	0.654628236	0.570240315
13	random-number-generator	0.624245276	0.995961636	0.014288673	0.623774897	0.683168317	0.505125154	0.653471607	0.569801258
14	ByakuyaFan	0.64314279	0.995837924	0.014616056	0.642981347	0.663366337	0.50522699	0.653173842	0.569752792
15	jmeriaux	0.623853211	0.995959086	0.014273893	0.623379703	0.683168317	0.50511649	0.65327401	0.569720616
16	Andaman	0.651689798	0.995772947	0.014755198	0.651675624	0.653465347	0.505264072	0.652570485	0.569546692
17	Zoldatoff	0.621814475	0.995945775	0.014197531	0.621324692	0.683168317	0.505071653	0.652246504	0.569301048
18	ruffbytes	0.696620403	0.995486855	0.015681234	0.697360101	0.603960396	0.505584045	0.650660249	0.569020651
19	dpol2000	0.649023759	0.995755518	0.014643887	0.648988302	0.653465347	0.505199703	0.651226824	0.568993516
20	bukkittu	0.639300557	0.995812808	0.014461472	0.639108441	0.663366337	0.50513714	0.651237389	0.568957866
21	hotapplepi	0.657962832	0.99569481	0.014803006	0.658077774	0.643564356	0.505248908	0.650821065	0.568869775
22	j10	0.565357171	0.99623063	0.013237925	0.564021499	0.732673267	0.504734277	0.648347383	0.567597524
23	mrTambourine	0.65145456	0.995651649	0.014528386	0.651517547	0.643564356	0.505090017	0.647540952	0.567512898
24	aikokendo	0.602446483	0.995944532	0.013701311	0.601723048	0.693069307	0.504822922	0.647396177	0.567288687
25	WitekW	0.630988787	0.995757425	0.014138004	0.630730319	0.663366337	0.504947714	0.647048328	0.567233848
26	herchu	0.580020387	0.996056568	0.013335803	0.578959848	0.712871287	0.504696185	0.645915568	0.566639654
27	shuai	0.665804125	0.995511458	0.014695591	0.666139741	0.623762376	0.505103524	0.644951058	0.566524507
28	Federer	0.654826315	0.995555022	0.014450214	0.654995258	0.633663366	0.505002618	0.644329312	0.566221091
29	86512	0.654591077	0.995553419	0.014440433	0.654758141	0.633663366	0.504996926	0.644210754	0.56617173
30	LePenseur1	0.517682114	0.996486941	0.012568482	0.5156497	0.772277228	0.504527711	0.643963464	0.565781296
31	kilari	0.792362581	0.99485556	0.01852552	0.794815049	0.485148515	0.50669054	0.639981782	0.565589155
32	GipsyDanger	0.603779503	0.99582409	0.013555992	0.603145748	0.683168317	0.504690041	0.643157032	0.565571767
33	vlemay	0.679761625	0.995374653	0.014859927	0.68036674	0.603960396	0.50511729	0.642163568	0.565455126
34	jindroush	0.543715204	0.996223675	0.012781186	0.542127727	0.742574257	0.50450243	0.642350992	0.565142206
35	CG	0.715439504	0.995170673	0.015650741	0.71664559	0.564356436	0.505410707	0.640501013	0.564993034
36	fonzee	0.590449306	0.995861701	0.013302927	0.589630098	0.693069307	0.504582314	0.641349702	0.56480439
37	FNakano	0.628479573	0.995616232	0.013839379	0.628280114	0.653465347	0.504727806	0.64087273	0.564710432
